ID	Lat	Long	Sex	Length_cm	Disk_width_cm	attriPop
IRI-13	48.194	-4.35725	F	55	NA	N_Bisc
IRI-14	48.18308333	-4.335666667	M	79	NA	N_Bisc
IRI-15	48.18308333	-4.335666667	M	78	NA	N_Bisc
IRI-16	48.18308333	-4.335666667	F	87	NA	N_Bisc
IRI-17	48.18308333	-4.335666667	F	89	NA	N_Bisc
IRI-18	48.12196667	-4.3766	F	87	NA	N_Bisc
IRI-19	48.12196667	-4.3766	F	93	NA	N_Bisc
IRI-20	48.2203	-4.4293	F	65	NA	N_Bisc
IRI-21	48.22231667	-4.442875	M	89	NA	N_Bisc
IRI-22	48.22231667	-4.442875	M	82	NA	N_Bisc
IRL-01	51.457	-5.266	F	76	NA	E_Irl
IRL-02	51.457	-5.266	F	54	NA	E_Irl
IRL-03	51.49	-5.78	F	46	NA	E_Irl
IRL-04	51.49	-5.78	F	44	NA	E_Irl
IRL-05	51.49	-5.78	M	72	NA	E_Irl
IRL-06	52.006	-6.258	F	59	NA	E_Irl
IRL-07	51.856	-6.612	F	58	NA	E_Irl
IRL-08	51.856	-6.612	F	63	NA	E_Irl
IRL-09	51.856	-6.612	F	83	NA	E_Irl
IRL-10	51.617	-6.524	F	54	NA	E_Irl
IRL-11	51.617	-6.524	F	54	NA	E_Irl
IRL-12	51.617	-6.524	M	41	NA	E_Irl
IRL-13	51.617	-6.524	M	49	NA	E_Irl
IRL-14	51.06	-5.786	M	52	NA	E_Irl
IRL-15	50.625	-8.909	F	39	NA	W_Irl
IRL-16	51.999	-10.371	F	74	NA	W_Irl
IRL-17	51.999	-10.371	F	68	NA	W_Irl
IRL-18	51.999	-10.371	F	65	NA	W_Irl
IRL-19	51.999	-10.371	F	61	NA	W_Irl
IRL-20	51.999	-10.371	F	66	NA	W_Irl
IRL-21	51.999	-10.371	F	75	NA	W_Irl
IRL-22	51.999	-10.371	F	61	NA	W_Irl
IRL-23	51.999	-10.371	F	75	NA	W_Irl
IRL-24	51.999	-10.371	F	57	NA	W_Irl
IRL-25	51.999	-10.371	F	68	NA	W_Irl
IRL-26	51.999	-10.371	F	68	NA	W_Irl
IRL-27	51.999	-10.371	F	61	NA	W_Irl
IRL-28	51.999	-10.371	F	63	NA	W_Irl
IRL-29	51.999	-10.371	F	53	NA	W_Irl
IRL-30	51.999	-10.371	F	77	NA	W_Irl
IRL-31	51.672	-9.617	F	48	NA	W_Irl
IRL-32	51.672	-9.617	F	48	NA	W_Irl
IRL-33	51.672	-9.617	F	13	NA	W_Irl
IRL-34	51.672	-9.617	M	40	NA	W_Irl
IRL-35	51.672	-9.617	M	45	NA	W_Irl
IRL-36	51.672	-9.617	M	38	NA	W_Irl
IRL-37	51.962	-10.969	F	47	NA	W_Irl
IRL-38	51.962	-10.969	M	78	NA	W_Irl
IRL-39	51.962	-10.969	M	67	NA	W_Irl
IRL-40	52.786	-11.837	F	49	NA	W_Irl
IRL-41	52.753	-11.494	F	44	NA	W_Irl
IRL-42	52.753	-11.494	F	60	NA	W_Irl
IRL-43	52.753	-11.494	F	59	NA	W_Irl
IRL-44	52.753	-11.494	f	55	NA	W_Irl
IRL-45	52.753	-11.494	M	26	NA	W_Irl
IRL-46	52.753	-11.494	M	60	NA	W_Irl
IRL-47	52.753	-11.494	M	36	NA	W_Irl
IRL-48	52.753	-11.494	M	71	NA	W_Irl
IRL-49	52.753	-11.494	M	67	NA	W_Irl
IRL-50	52.753	-11.494	M	57	NA	W_Irl
POR-01	37.935	-9.141666667	F	51	26	Port
POR-02	37.935	-9.141666667	F	45	26	Port
POR-03	37.935	-9.141666667	M	58	28	Port
POR-04	37.935	-9.141666667	F	72	37	Port
POR-05	37.935	-9.141666667	F	71	36.5	Port
POR-06	37.935	-9.141666667	F	54	28	Port
POR-07	37.935	-9.141666667	F	56	28.5	Port
POR-08	37.935	-9.141666667	F	77	41	Port
POR-09	36.68166667	-7.67	F	45.7	32.8	Port
POR-10	36.95166667	-7.601666667	M	34.6	23.2	Port
POR-11	36.835	-8.208333333	F	23.7	16	Port
POR-12	39.32	-9.37	F	94	67	Port
POR-13	39.32	-9.37	F	82	61	Port
POR-14	39.32	-9.37	M	76	52	Port
POR-15	39.32	-9.37	F	75	52	Port
POR-16	39.32	-9.37	F	67.3	44.7	Port
POR-17	39.32	-9.37	M	57.4	38.8	Port
POR-18	39.32	-9.37	F	61.5	44	Port
POR-19	39.32	-9.37	M	57	39.5	Port
POR-20	39.32	-9.37	F	60	38.6	Port
POR-21	39.32	-9.37	M	63.7	43.3	Port
POR-22	39.32	-9.37	M	61.5	40.3	Port
POR-23	39.32	-9.37	M	56.2	40	Port
POR-24	39.32	-9.37	M	56	35	Port
POR-25	39.32	-9.37	M	68.9	46.7	Port
POR-26	39.32	-9.37	M	70.7	46.4	Port
POR-27	39.32	-9.37	F	81	57	Port
POR-28	39.32	-9.37	M	69.8	47	Port
POR-29	39.32	-9.37	F	72.8	48.5	Port
POR-30	39.32	-9.37	M	70.2	48	Port
POR-31	39.32	-9.37	F	71.3	50.9	Port
POR-32	39.32	-9.37	F	67.9	48.1	Port
POR-33	39.32	-9.37	F	73.9	53.2	Port
POR-34	39.32	-9.37	F	76.3	56.6	Port
POR-35	39.32	-9.37	F	87.4	63.1	Port
POR-36	39.32	-9.37	F	75.1	54.3	Port
POR-37	39.32	-9.37	F	65.6	47.6	Port
POR-38	39.32	-9.37	M	65.7	47	Port
POR-39	39.32	-9.37	F	69.2	48.3	Port
POR-40	39.32	-9.37	F	74.8	54.4	Port
POR-41	39.32	-9.37	F	93.8	68	Port
POR-42	39.32	-9.37	F	79.2	58.1	Port
POR-43	39.32	-9.37	F	78.6	55.2	Port
POR-44	39.32	-9.37	F	76.3	55.5	Port
POR-45	39.32	-9.37	F	78.9	58	Port
POR-46	39.32	-9.37	F	75.6	NA	Port
POR-47	39.32	-9.37	M	73.9	NA	Port
POR-48	39.32	-9.37	M	75	47.1	Port
POR-49	39.32	-9.37	M	71.4	48	Port
POR-50	39.32	-9.37	F	70.3	51.2	Port
IBT-151	53.2806652	3.79840705	M	52	36	N_Sea
IBT-152	52.46536943	3.908737033	F	63	44	N_Sea
IBT-153	52.46536943	3.908737033	F	43	30	N_Sea
IBT-154	53.5824817	2.1969723	M	35	25	N_Sea
IBT-155	53.549781	1.73082315	F	77	54	N_Sea
IBT-156	53.20806998	1.824664933	F	33	23	N_Sea
IBT-157	55.1446388	-1.20268075	F	55	38	N_Sea
IBT-158	53.3574085	2.6844419	M	31	23	N_Sea
IBT-159	53.42510292	2.849384833	F	75	59	N_Sea
IBT-160	53.89721465	5.75262225	F	84	59	N_Sea
IBT-161	53.89721465	5.75262225	M	76	49	N_Sea
IBT-162	53.89721465	5.75262225	M	77	50	N_Sea
IBT-163	53.89721465	5.75262225	M	50	35	N_Sea
IBT-164	53.89721465	5.75262225	M	66	abimée	N_Sea
IBT-165	54.2428208	6.1252828	F	84	60	N_Sea
IBT-166	53.8584156	6.1869628	F	57	40	N_Sea
IBT-167	52.9607248	2.5745212	M	84	56	N_Sea
IBT-168	52.9607248	2.5745212	F	52	33	N_Sea
IBT-169	52.6900064	2.3202499	F	32	23	N_Sea
IBT-170	52.6900064	2.3202499	F	41	28	N_Sea
IBT-171	52.6900064	2.3202499	M	14	8	N_Sea
GSA7-27	42.60608333	3.573666667	F	42	28.5	GdL
GSA7-28	42.60608333	3.573666667	F	43	31	GdL
GSA7-31	42.68183333	3.966416667	F	105	72	GdL
GSA7-30	42.87583333	4.403083333	M	34	23	GdL
GSA7-29	42.99583333	4.414	M	36.8	26.1	GdL
GSA7-26	43.03766667	4.530416667	M	73	46	GdL
GSA7-10	42.85975	4.687833333	F	75	52	GdL
GSA7-11	42.85975	4.687833333	F	47	31.5	GdL
GSA7-12	42.85975	4.687833333	M	42	25.5	GdL
GSA7-13	42.85975	4.687833333	F	87	58.5	GdL
GSA7-14	42.85975	4.687833333	M	50	33	GdL
GSA7-15	42.85975	4.687833333	F	43	28.5	GdL
GSA7-16	42.85975	4.687833333	F	91	66	GdL
GSA7-17	42.85975	4.687833333	M	64	40	GdL
GSA7-18	42.85975	4.687833333	M	22	14	GdL
GSA7-19	42.85975	4.687833333	F	16	10	GdL
GSA7-20	42.85975	4.687833333	M	22	14.5	GdL
GSA7-21	42.85975	4.687833333	M	21	13	GdL
GSA7-22	42.85975	4.687833333	M	20	12.5	GdL
GSA7-23	42.85975	4.687833333	F	66	43	GdL
GSA7-24	42.85975	4.687833333	M	49	31.5	GdL
GSA7-25	42.85975	4.687833333	M	35	22.5	GdL
GSA7-7	42.99125	4.690583333	M	64	42	GdL
GSA7-8	42.99125	4.690583333	M	50	32	GdL
GSA7-9	42.99125	4.690583333	M	70	43	GdL
GSA7-6	43.06183333	4.847416667	F	39	25	GdL
GSA7-1	42.99116667	5.115416667	M	43	27	GdL
GSA7-2	42.99116667	5.115416667	F	36	22.5	GdL
GSA7-3	42.99116667	5.115416667	F	48	31	GdL
GSA7-4	42.99116667	5.115416667	F	54	35	GdL
GSA7-5	42.99116667	5.115416667	M	64	41	GdL
GSA8-8	41.98308333	9.470583333	M	42	27.5	Corse
GSA8-9	41.98308333	9.470583333	M	58	38	Corse
GSA8-14	41.62358333	9.471583333	F	33	22	Corse
GSA8-15	41.62358333	9.471583333	M	31	20	Corse
GSA8-16	41.62358333	9.471583333	F	29	20	Corse
GSA8-17	41.62358333	9.471583333	F	27	16.5	Corse
GSA8-18	41.62358333	9.471583333	F	35	22	Corse
GSA8-19	41.62358333	9.471583333	F	25	15	Corse
GSA8-20	41.62358333	9.471583333	M	23	14	Corse
GSA8-21	41.62358333	9.471583333	F	34	21.5	Corse
GSA8-22	41.78608333	9.49925	F	56	36	Corse
GSA9-8	43.83373333	9.511083333	F	26.5		Corse
GSA9-9	43.83373333	9.511083333	M	13.5		Corse
GSA9-10	43.83373333	9.511083333	F	38.5		Corse
GSA8-23	41.97016667	9.542	F	79	53.5	Corse
GSA8-24	41.97016667	9.542	M	73	47	Corse
GSA8-10	41.54441667	9.5515	F	47	31	Corse
GSA8-11	41.54441667	9.5515	M	43	28	Corse
GSA8-12	41.54441667	9.5515	F	38	28	Corse
GSA8-13	41.54441667	9.5515	F	31	19.5	Corse
GSA8-25	41.94966667	9.569166667	F	66	44	Corse
GSA8-26	41.94966667	9.569166667	F	34	21.5	Corse
GSA8-38	42.65633333	9.593833333	F	69	44	Corse
GSA8-39	42.65633333	9.593833333	F	60	38.5	Corse
GSA8-40	42.65633333	9.593833333	M	61	39	Corse
GSA8-41	42.65633333	9.593833333	F	NA	46.5	Corse
GSA8-42	42.65633333	9.593833333	M	49	33	Corse
GSA8-43	42.65633333	9.593833333	F	40	27.5	Corse
GSA8-44	42.65633333	9.593833333	F	31	19.5	Corse
GSA8-45	42.65633333	9.593833333	M	37	23	Corse
GSA8-46	42.65633333	9.593833333	M	33	20	Corse
GSA8-47	42.65633333	9.593833333	M	31	18.5	Corse
GSA8-48	42.65633333	9.593833333	F	32	20.5	Corse
GSA8-49	42.65633333	9.593833333	F	33	20	Corse
GSA8-50	42.65633333	9.593833333	M	34	22	Corse
GSA9-6	43.6125	9.6025	F	95.5		Corse
GSA8-27	42.1655	9.6035	F	72	49	Corse
GSA8-28	42.1655	9.6035	M	68	43	Corse
GSA8-29	42.1655	9.6035	F	91	58	Corse
GSA8-30	42.1655	9.6035	F	72	50	Corse
GSA8-31	42.1655	9.6035	F	57	37	Corse
GSA8-32	42.1655	9.6035	F	73	50	Corse
GSA9-7	43.81945	9.606116667	F	24		Corse
GSA8-1	42.95308333	9.615	M	28	17	Corse
GSA8-2	42.95308333	9.615	F	41	26	Corse
GSA8-3	42.95308333	9.615	M	35	21	Corse
GSA8-4	42.95308333	9.615	M	34	21	Corse
GSA8-5	42.95308333	9.615	F	64	41.5	Corse
GSA8-6	42.95308333	9.615	M	61	39.5	Corse
GSA8-7	42.95308333	9.615	M	54	37.5	Corse
GSA8-33	42.2315	9.629666667	F	NA	51.5	Corse
GSA8-34	42.2315	9.629666667	F	45	30	Corse
GSA8-35	42.2315	9.629666667	F	37	22.5	Corse
GSA8-36	42.2315	9.629666667	F	30	18.5	Corse
GSA8-37	42.2315	9.629666667	F	28	19	Corse
GSA9-4	43.67841667	9.823616667	M	24		Corse
GSA9-5	43.67841667	9.823616667	M	59.5		Corse
GSA9-1	43.60596667	9.879566667	M	18.5		Corse
GSA9-2	43.60596667	9.879566667	F	28.5		Corse
GSA9-3	43.60596667	9.879566667	F	29.5		Corse
GSA9-25	43.23861667	9.976416667	M	27		Corse
GSA9-26	43.23861667	9.976416667	F	42.5		Corse
GSA9-27	43.23861667	9.976416667	F	34.5		Corse
GSA9-28	43.23861667	9.976416667	M	35		Corse
GSA9-29	43.23861667	9.976416667	F	41.5		Corse
GSA9-30	43.23861667	9.976416667	F	46		Corse
GSA9-31	43.23861667	9.976416667	M	31		Corse
GSA9-32	43.23861667	9.976416667	F	54		Corse
GSA9-33	43.23861667	9.976416667	M	60		Corse
GSA9-34	43.23861667	9.976416667	F	65		Corse
GSA9-11	43.20226667	9.991916667	F	31.5		Corse
GSA9-12	43.20226667	9.991916667	M	53		Corse
GSA9-13	43.20226667	9.991916667	M	28.5		Corse
GSA9-14	43.20226667	9.991916667	M	37.5		Corse
GSA9-15	43.20226667	9.991916667	F	42		Corse
GSA9-16	43.20226667	9.991916667	F	43		Corse
GSA9-17	43.20226667	9.991916667	M	36		Corse
GSA9-18	43.20226667	9.991916667	F	43.5		Corse
GSA9-19	43.20226667	9.991916667	M	48.5		Corse
GSA9-20	43.20226667	9.991916667	F	28.5		Corse
GSA9-21	43.20226667	9.991916667	F	44		Corse
GSA9-22	43.20226667	9.991916667	M	38.5		Corse
GSA9-23	43.20226667	9.991916667	M	37		Corse
GSA9-35	43.19215	10.07815	M	55		Corse
GSA9-36	43.19215	10.07815	F	41.5		Corse
GSA9-37	43.19215	10.07815	F	45		Corse
GSA9-38	43.19215	10.07815	M	69		Corse
GSA9-39	43.19215	10.07815	F	40		Corse
GSA9-40	43.19215	10.07815	F	37		Corse
GSA9-41	43.19215	10.07815	M	46		Corse
GSA9-42	43.19215	10.07815	F	37		Corse
GSA9-43	43.08106667	10.10656667	M	37.5		Corse
GSA9-44	43.08106667	10.10656667	F	47.5		Corse
GSA9-45	43.08106667	10.10656667	M	45		Corse
GSA9-46	43.08106667	10.10656667	M	35.5		Corse
GSA9-47	43.08106667	10.10656667	F	44		Corse
GSA9-48	43.08106667	10.10656667	F	42.5		Corse
GSA9-49	43.08106667	10.10656667	M	41.5		Corse
GSA9-50	43.08106667	10.10656667	M	51		Corse
GSA9-24	43.30658333	10.20598333	M	65		Corse
GSA20-1	39.17416667	20.27533333	F	53	37	Egee_Sea
GSA20-2	39.17416667	20.27533333	F	49	32.8	Egee_Sea
GSA20-3	39.17416667	20.27533333	F	56.2	37.2	Egee_Sea
GSA20-4	39.17416667	20.27533333	M	56.9	36	Egee_Sea
GSA20-5	39.17416667	20.27533333	M	46.4	30.2	Egee_Sea
GSA20-6	39.0225	20.46266667	F	50		Egee_Sea
GSA20-7	39.0225	20.46266667	F	22.9		Egee_Sea
GSA20-8	39.0225	20.46266667	F	22		Egee_Sea
GSA20-9	39.0225	20.46266667	F	29		Egee_Sea
GSA20-10	39.0225	20.46266667	F	45.4		Egee_Sea
GSA20-11	39.0225	20.46266667	F	54.1		Egee_Sea
GSA20-12	39.0225	20.46266667	M	20.2		Egee_Sea
GSA20-13	39.0225	20.46266667	M	16.1		Egee_Sea
GSA20-14	39.0225	20.46266667	M	30		Egee_Sea
GSA20-15	39.0225	20.46266667	M	25.1		Egee_Sea
GSA20-16	39.0225	20.46266667	M	28.1		Egee_Sea
GSA20-17	39.0225	20.46266667	M	29.1		Egee_Sea
GSA20-18	39.0225	20.46266667	M	33.1		Egee_Sea
GSA20-19	39.0225	20.46266667	M	35.1		Egee_Sea
GSA20-20	39.0225	20.46266667	M	42.2		Egee_Sea
GSA20-21	39.0225	20.46266667	M	38.1		Egee_Sea
GSA20-22	39.0225	20.46266667	M	62.2		Egee_Sea
GSA20-23	39.0225	20.46266667	M	45		Egee_Sea
GSA20-24	39.0225	20.46266667	M	35.9		Egee_Sea
GSA20-25	39.0225	20.46266667	M	41		Egee_Sea
GSA20-26	39.0225	20.46266667	M	45.6		Egee_Sea
GSA20-27	39.0225	20.46266667	M	51.1		Egee_Sea
GSA20-28	39.03393333	20.57633333	M	22		Egee_Sea
GSA20-29	39.03393333	20.57633333	F	38.8		Egee_Sea
GSA20-30	39.03393333	20.57633333	F	66.1		Egee_Sea
GSA20-31	39.03393333	20.57633333	M	40.4		Egee_Sea
GSA20-32	39.03393333	20.57633333	F	55.2		Egee_Sea
GSA20-33	39.03393333	20.57633333	F	52.3		Egee_Sea
GSA20-34	39.03393333	20.57633333	F	47.1		Egee_Sea
GSA20-35	39.03393333	20.57633333	F	60.9		Egee_Sea
GSA20-41	38.461	20.86766667	M	48.5	32.1	Egee_Sea
GSA20-42	38.461	20.86766667	F	35.8	22.9	Egee_Sea
GSA20-43	38.461	20.86766667	F	50.8	35	Egee_Sea
GSA20-44	38.461	20.86766667	F	32.8	21.2	Egee_Sea
GSA20-45	38.461	20.86766667	M	57.1	36.3	Egee_Sea
GSA20-46	38.461	20.86766667	F	63.3	42.5	Egee_Sea
GSA20-47	38.461	20.86766667	M	43.2	29.2	Egee_Sea
GSA20-48	38.461	20.86766667	M	45.2	29.5	Egee_Sea
GSA20-49	38.461	20.86766667	F	45.2	29.8	Egee_Sea
GSA20-50	38.461	20.86766667	F	61.2	42.2	Egee_Sea
GSA22-9	37.05933333	24.41566667	F	42.4		Ion_Sea
GSA22-10	37.05933333	24.41566667	M	36.8		Ion_Sea
GSA22-25	37.69233333	24.71366667	F	51.1		Ion_Sea
GSA22-26	37.69233333	24.71366667	F	66.2		Ion_Sea
GSA22-27	37.69233333	24.71366667	F	40		Ion_Sea
GSA22-28	37.69233333	24.71366667	F	40.3		Ion_Sea
GSA22-14	37.38383333	24.78433333	F	57.6		Ion_Sea
GSA22-15	37.38383333	24.78433333	M	23.8		Ion_Sea
GSA22-16	37.38383333	24.78433333	F	28.4		Ion_Sea
GSA22-17	37.38383333	24.78433333	F	44.4		Ion_Sea
GSA22-18	37.38383333	24.78433333	F	58.2		Ion_Sea
GSA22-11	37.20533333	24.7965	M	41.5		Ion_Sea
GSA22-12	37.20533333	24.7965	M	47.6		Ion_Sea
GSA22-13	37.20533333	24.7965	M	41.6		Ion_Sea
GSA22-19	37.719	24.80016667	F	46.8		Ion_Sea
GSA22-20	37.719	24.80016667	F	65.7		Ion_Sea
GSA22-21	37.719	24.80016667	F	61.8		Ion_Sea
GSA22-22	37.719	24.80016667	F	69.2		Ion_Sea
GSA22-23	37.719	24.80016667	F	55.9		Ion_Sea
GSA22-24	37.719	24.80016667	F	66.2		Ion_Sea
GSA22-4	36.59333333	24.84316667	F	47.8		Ion_Sea
GSA22-5	36.67083333	24.92183333	M	38		Ion_Sea
GSA22-6	36.67083333	24.92183333	F	46.6		Ion_Sea
GSA22-7	36.841	24.95566667	M	52.7		Ion_Sea
GSA22-8	36.841	24.95566667	F	55.7		Ion_Sea
GSA22-1	36.6345	25.15916667	M	42.5		Ion_Sea
GSA22-2	36.6345	25.15916667	M	51.2		Ion_Sea
GSA22-3	36.6345	25.15916667	F	64.7		Ion_Sea
GSA22-29	37.2725	25.30416667	M	47.7		Ion_Sea
GSA22-30	37.3315	25.41966667	M	30		Ion_Sea
GSA22-31	37.3315	25.41966667	M	43		Ion_Sea
GSA22-32	37.3315	25.41966667	M	15.2		Ion_Sea
GSA22-33	37.3315	25.41966667	M	29.8		Ion_Sea
GSA22-34	37.3315	25.41966667	M	34.1		Ion_Sea
GSA22-35	37.3315	25.41966667	F	25.2		Ion_Sea
GSA22-36	37.3315	25.41966667	F	47.4		Ion_Sea
GSA22-37	37.3315	25.41966667	F	50.3		Ion_Sea
GSA22-38	37.3315	25.41966667	F	42.7		Ion_Sea
GSA22-39	37.3315	25.41966667	M	32.2		Ion_Sea
GSA22-40	37.3315	25.41966667	M	32.3		Ion_Sea
